Name                    ,aptitude               ,snap                      ,flatpak                                   ,Description
Telegram                ,telegram-desktop       ,telegram-desktop          ,org.telegram.desktop                      ,Fast. Secure. Powerful.
TexLive Full            ,texlive-full           ,                          ,                                          ,TeX Live: metapackage pulling in all components of TeX Live
TexLive Base            ,texlive                ,                          ,                                          ,TeX Live: A decent selection of the TeX Live packages
TexLive Spanish Lang    ,texlive-lang-spanish   ,                          ,                                          ,TeX Live: Spanish
TexLive Extra Fonts     ,texlive-fonts-extra    ,                          ,                                          ,TeX Live: Additional fonts
TexMaker                ,texmaker               ,                          ,net.xm1math.Texmaker                      ,cross-platform LaTeX editor
ThiefMD                 ,                       ,                          ,com.github.kmwallio.thiefmd               ,The markdown editor worth stealing.
Thonny                  ,thonny                 ,thonny                    ,org.thonny.Thonny                         ,Python IDE for beginners
Thunderbird             ,thunderbird            ,thunderbird               ,org.mozilla.Thunderbird                   ,mail/news client with RSS chat and integrated spam filter support
Thunderbird BiDiUi      ,thunderbird-bidiui     ,                          ,                                          ,BiDirectional support for Thunderbird
Thunderbird Language    ,thunderbird-l10n-es-mx ,                          ,                                          ,Spanish (Mexican) language package for Thunderbird
TigerVNC                ,                       ,tigervnc                  ,org.tigervnc.vncviewer                    ,Connect to VNC server and display remote desktop
tmux                    ,tmux                   ,                          ,                                          ,terminal multiplexer
Tor                     ,tor                    ,                          ,org.torproject.torbrowser-launcher        ,anonymizing overlay network for TCP
Tor Launcher            ,torbrowser-launcher    ,                          ,                                          ,helps download and run the Tor Browser Bundle
traceroute              ,traceroute             ,                          ,                                          ,Traces the route taken by packets over an IPv4/IPv6 network
tree                    ,tree                   ,                          ,                                          ,displays an indented directory tree in color
ufw                     ,ufw                    ,                          ,                                          ,program for managing a Netfilter firewall
Ukui Themes             ,ukui-themes            ,                          ,                                          ,Official themes for the UKUI desktop
UltimateMediaDownloader ,                       ,                          ,com.ktechpit.ultimate-media-downloader    ,Online video & audio downloader for Linux 1300+ websites support
Video Downloader        ,                       ,                          ,com.github.unrud.VideoDownloader          ,Descargar vídeos de Internet
vim                     ,vim                    ,                          ,                                          ,Vi IMproved - enhanced vi editor
vim-gtk3                ,vim-gtk3               ,                          ,                                          ,Vi IMproved - enhanced vi editor - with GTK3 GUI
Visual Studio           ,                       ,code                      ,com.visualstudio.code                     ,Code editing. Redefined.
VLC                     ,vlc                    ,vlc                       ,org.videolan.VLC                          ,multimedia player and streamer
VScodium                ,                       ,                          ,com.vscodium.codium                       ,Telemetry-less code editing
vsftpd                  ,vsftpd                 ,                          ,                                          ,lightweight efficient FTP server written for security
wavemon                 ,wavemon                ,                          ,                                          ,Wireless Device Monitoring Application
wget                    ,wget                   ,                          ,                                          ,retrieves files from the web
WhatsApp for Linux      ,                       ,                          ,com.github.eneshecan.WhatsAppForLinux     ,Unofficial WhatsApp application
Wildcard                ,                       ,                          ,io.github.fkinoshita.Wildcard             ,Prueba tus expresiones regulares
Wine                    ,wine                   ,                          ,                                          ,Windows API implementation - standard suite
Wine64                  ,wine64                 ,                          ,                                          ,Windows API implementation - 64-bit binary loader
Winetricks              ,winetricks             ,                          ,                                          ,simple tool to work around common problems in Wine
wireless-tools          ,wireless-tools         ,                          ,                                          ,Tools for manipulating Linux Wireless Extensions
wpasupplicant           ,wpasupplicant          ,                          ,                                          ,client support for WPA and WPA2 (IEEE 802.11i)
WXmaxima                ,wxmaxima               ,wxmaxima                  ,io.github.wxmaxima_developers.wxMaxima    ,GUI for the computer algebra system Maxima
XDG desktop portal      ,xdg-desktop-portal-dev ,                          ,                                          ,desktop integration portal - development files
XDot                    ,xdot                   ,                          ,                                          ,interactive viewer for Graphviz dot files
Xemu                    ,                       ,                          ,app.xemu.xemu                             ,Original Xbox Emulator
Xfce4 Screensaver       ,xfce4-screensaver      ,                          ,                                          ,screen saver and locker that is integrated with the xfce4 desktop
xrdp                    ,xrdp                   ,                          ,                                          ,Remote Desktop Protocol (RDP) server
xsct                    ,xsct                   ,                          ,                                          ,X11 set screen color temperature
xsensors                ,xsensors               ,                          ,                                          ,hardware health information viewer
Zoom                    ,                       ,zoom-client               ,us.zoom.Zoom                              ,Video Conferencing - Web Conferencing - Webinars - Screen Sharing
